Vehicle,PaymentYear,TotalPayment
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),7,33350.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),8,34000.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),9,34650.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),10,35300.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),11,35950.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),12,36600.0
Tesla Model Y Performance AWDAutomatic (A1),1,14648.0
Tesla Model Y Performance AWDAutomatic (A1),2,29296.0
Tesla Model Y Performance AWDAutomatic (A1),3,43944.0
Tesla Model Y Performance AWDAutomatic (A1),4,58592.0
Tesla Model Y Performance AWDAutomatic (A1),5,73240.0
Tesla Model Y Performance AWDAutomatic (A1),6,73890.0
Tesla Model Y Performance AWDAutomatic (A1),7,74540.0
Tesla Model Y Performance AWDAutomatic (A1),8,75190.0
Tesla Model Y Performance AWDAutomatic (A1),9,75840.0
Tesla Model Y Performance AWDAutomatic (A1),10,76490.0
Tesla Model Y Performance AWDAutomatic (A1),11,77140.0
Tesla Model Y Performance AWDAutomatic (A1),12,77790.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),1,650.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),2,1300.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),3,1950.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),4,2600.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),5,3250.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),6,3900.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),7,4550.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),8,5200.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),9,5850.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),10,6500.0
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),11,7150.0
